193;55
169;84
102;59
169;82
113;60
196;63
199;91
193;91
169;88
113;77
169;92
102;70
102;67
169;70
196;58
113;70
174;79
105;62
174;78
105;66
174;88
190;69
174;82
180;51
190;56
152;83
105;84
190;94
190;96
174;98
180;99
161;81
137;80
104;68
186;72
186;62
121;92
121;77
120;72
121;69
137;96
164;68
188;60
164;70
141;54
164;55
164;88
141;80
188;90
164;61
164;60
164;94
167;53
167;54
124;56
110;74
157;58
110;81
167;82
110;84
124;99
142;62
173;88
106;54
173;78
173;95
183;85
106;82
183;69
106;63
183;51
177;99
176;88
154;56
176;57
115;57
125;86
115;62
154;65
140;62
136;61
103;72
140;58
140;54
136;91
171;66
130;88
171;89
130;61
130;59
171;82
126;68
171;88
158;88
158;89
165;64
185;92
185;85
185;70
185;82
